日期,开盘价,收盘价,最高价,最低价,成交量(手),成交额(元),振幅(%),涨跌幅(%),涨跌额,换手率(%)
2023-09-19,206.8,206.06,207.22,204.34,150244,3183848137.0,1.39,-0.36,-0.74,0.39
2023-09-20,206.74,203.64,207.07,202.42,130875,2750166643.0,2.26,-1.17,-2.42,0.34
2023-09-21,203.75,200.47,204.69,200.41,162149,3368171869.0,2.1,-1.56,-3.17,0.42
2023-09-22,199.24,204.67,205.19,199.24,225091,4696859644.0,2.97,2.1,4.2,0.58
2023-09-25,206.76,203.02,207.36,202.45,136054,2864421900.0,2.4,-0.81,-1.65,0.35
2023-09-26,200.41,198.24,201.09,197.24,202538,4150919714.0,1.9,-2.35,-4.78,0.52
2023-09-27,200.04,197.4,202.23,196.19,218490,4470658972.0,3.05,-0.42,-0.84,0.56
2023-09-28,197.74,196.77,200.24,196.32,158095,3223265861.0,1.99,-0.32,-0.63,0.41
2023-10-09,194.74,189.24,195.02,186.74,337428,6617775154.0,4.21,-3.83,-7.53,0.87
2023-10-10,191.62,188.46,191.74,188.46,198655,3895932691.0,1.73,-0.41,-0.78,0.51
2023-10-11,191.61,188.51,192.34,187.84,202482,3964353022.0,2.39,0.03,0.05,0.52
2023-10-12,188.75,189.68,191.54,187.74,242059,4744179131.0,2.02,0.62,1.17,0.62
2023-10-13,187.59,184.34,188.57,183.34,284222,5429864563.0,2.76,-2.82,-5.34,0.73
2023-10-16,184.08,178.5,184.27,177.65,246836,4603170882.0,3.59,-3.17,-5.84,0.63
2023-10-17,179.25,179.18,183.04,178.31,215583,4027297387.0,2.65,0.38,0.68,0.55
2023-10-18,178.84,180.04,181.99,177.34,176519,3284047971.0,2.6,0.48,0.86,0.45
2023-10-19,178.15,176.44,179.42,176.02,174542,3209465700.0,1.89,-2.0,-3.6,0.45
2023-10-20,172.74,174.74,181.43,172.74,300269,5478351217.0,4.93,-0.96,-1.7,0.77
2023-10-23,174.04,171.0,174.04,169.54,202233,3597554198.0,2.58,-2.14,-3.74,0.52
2023-10-24,171.74,170.16,172.94,169.04,243795,4310104361.0,2.28,-0.49,-0.84,0.63
2023-10-25,171.94,169.72,173.24,169.42,215342,3818928277.0,2.24,-0.26,-0.44,0.55
2023-10-26,167.74,171.81,172.04,162.55,414206,7175542946.0,5.59,1.23,2.09,1.06
2023-10-27,171.59,178.46,179.62,169.76,477953,8729936697.0,5.74,3.87,6.65,1.23
2023-10-30,180.74,181.76,183.62,178.54,322595,6050993028.0,2.85,1.85,3.3,0.83
2023-10-31,180.42,179.34,180.96,178.34,181525,3369355372.0,1.44,-1.33,-2.42,0.47
2023-11-01,179.53,181.28,184.04,178.24,197273,3695120175.0,3.23,1.08,1.94,0.51
2023-11-02,182.24,179.31,183.62,179.31,137627,2577685558.0,2.38,-1.09,-1.97,0.35
2023-11-03,179.74,181.18,182.42,178.34,143655,2683301612.0,2.28,1.04,1.87,0.37
2023-11-06,182.31,190.82,190.84,182.19,349684,6798069246.0,4.77,5.32,9.64,0.9
2023-11-07,189.73,184.98,189.85,183.86,260803,5008846046.0,3.14,-3.06,-5.84,0.67
2023-11-08,183.92,185.58,186.68,183.74,146522,2809047604.0,1.59,0.32,0.6,0.38
2023-11-09,184.37,185.19,186.32,184.27,109971,2104229338.0,1.1,-0.21,-0.39,0.28
2023-11-10,182.74,182.77,183.71,181.79,116100,2189830819.0,1.04,-1.31,-2.42,0.3
2023-11-13,185.74,181.59,185.94,180.76,125196,2362258976.0,2.83,-0.65,-1.18,0.32
2023-11-14,181.59,177.42,182.54,176.74,234883,4346598777.0,3.19,-2.3,-4.17,0.6
2023-11-15,180.63,178.22,182.33,177.32,238072,4423251194.0,2.82,0.45,0.8,0.61
2023-11-16,179.22,174.89,179.23,173.84,174662,3180032494.0,3.02,-1.87,-3.33,0.45
2023-11-17,173.59,174.47,174.99,173.23,110840,2000359414.0,1.01,-0.24,-0.42,0.28
2023-11-20,174.48,174.04,175.54,172.75,124087,2235037632.0,1.6,-0.25,-0.43,0.32
2023-11-21,175.74,174.35,177.74,173.75,197662,3601130909.0,2.29,0.18,0.31,0.51
2023-11-22,173.29,170.74,175.04,170.74,186886,3332638164.0,2.47,-2.07,-3.61,0.48
2023-11-23,169.75,171.44,171.44,168.63,157203,2771265524.0,1.65,0.41,0.7,0.4
2023-11-24,170.77,168.74,171.94,168.24,166212,2918741661.0,2.16,-1.57,-2.7,0.43
2023-11-27,168.03,164.44,168.24,164.34,184220,3161041987.0,2.31,-2.55,-4.3,0.47
2023-11-28,163.77,165.66,165.71,162.61,202107,3443539749.0,1.89,0.74,1.22,0.52
2023-11-29,164.74,160.59,165.12,160.11,251885,4235346582.0,3.02,-3.06,-5.07,0.65
2023-11-30,158.96,160.74,162.4,158.23,230272,3834512348.0,2.6,0.09,0.15,0.59
2023-12-01,161.03,159.24,161.44,158.17,169622,2816101715.0,2.03,-0.93,-1.5,0.44
2023-12-04,157.24,155.39,158.18,154.98,239304,3892529224.0,2.01,-2.42,-3.85,0.61
2023-12-05,153.89,152.55,156.11,152.39,248077,3978910664.0,2.39,-1.83,-2.84,0.64
2023-12-06,152.39,156.62,160.6,151.96,367693,6024339619.0,5.66,2.67,4.07,0.94
2023-12-07,155.74,158.23,160.1,155.34,269084,4410841808.0,3.04,1.03,1.61,0.69
2023-12-08,158.74,157.33,160.07,156.86,245020,4030383346.0,2.03,-0.57,-0.9,0.63
2023-12-11,155.75,159.09,159.43,153.9,214896,3497265739.0,3.51,1.12,1.76,0.55
2023-12-12,157.74,157.37,158.96,156.72,147339,2415527908.0,1.41,-1.08,-1.72,0.38
